Crop,Variety,State,Duration in days,Cost,Quantity,Predicted_Production
Sugarcane,Karan 6 (Co 0239), Uttarakhand,360,89025.27,131.12,230.5323288
Sugarcane,Karan 6 (Co 0239), Uttar Pradesh,360,89025.27,131.12,230.5323288
Sugarcane,Karan 5 (Co 0124),Punjab,360,89025.27,131.12,230.5323288
Sugarcane,Karan 5 (Co 0124), Haryana,360,89025.27,131.12,230.5323288
Sugarcane,Karan 5 (Co 0124), Rajasthan,360,89025.27,131.12,230.5323288
Sugarcane,Karan 5 (Co 0124), Uttarakhand,360,89025.27,131.12,230.5323288
Sugarcane,Karan 5 (Co 0124), Uttar Pradesh,360,89025.27,131.12,230.5323288
Sugarcane,Co-0218,Tamil Nadu,360,89025.27,131.12,230.5323288
Sugarcane,Co-0218, Karnataka,360,89025.27,131.12,230.5323288
Sugarcane,Co-0218, Maharashtra,360,89025.27,131.12,230.5323288
Sugarcane,Co-0218, Kerala,360,89025.27,131.12,230.5323288
Sugarcane,Co-0218, Andhra Pradesh,360,89025.27,131.12,230.5323288
Jute,SUDHANGSU (JBO-1),West Bengal,134,33198.94975,103.94,403.1013699
Jute,SUDHANGSU (JBO-1), Assam,134,33198.94975,103.94,403.1013699
Jute,SUDHANGSU (JBO-1), Bihar,134,33198.94975,103.94,403.1013699
Jute,SUDHANGSU (JBO-1), Orissa,134,33198.94975,103.94,403.1013699
Jute,ARPITA (JBC-5),West Bengal,134,33198.94975,103.94,403.1013699
Jute,ARPITA (JBC-5), Assam,134,33198.94975,103.94,403.1013699
Mesta,SNEHA (JRM-3),Andhra Pradesh,134,33198.94975,56.38,121.5178082
Mesta,SNEHA (JRM-3), West Bengal,134,33198.94975,56.38,121.5178082
Mesta,SNEHA (JRM-3), Bihar,134,33198.94975,56.38,121.5178082
Mesta,SNEHA (JRM-3), Orissa,134,33198.94975,56.38,121.5178082
Mesta,SNEHA (JRM-3), Maharashtra,134,33198.94975,56.38,121.5178082
Mesta,SHRESTHA (JRM-5),Andhra Pradesh,134,33198.94975,56.38,121.5178082
Mesta,SHRESTHA (JRM-5), Orissa,134,33198.94975,56.38,121.5178082
Mesta,SHRESTHA (JRM-5), Assam,134,33198.94975,56.38,121.5178082
Mesta,SHRESTHA (JRM-5), Maharashtra,134,33198.94975,56.38,121.5178082
Mesta,SHRESTHA (JRM-5), Bihar,134,33198.94975,56.38,121.5178082
Mesta,SHRESTHA (JRM-5), West Bengal,134,33198.94975,56.38,121.5178082
Cotton,CNH012,Gujarat,165,42070.44,131.3,501.2668493
Cotton,CNH012, Maharashtra,165,44211.23,131.3,501.2668493
Cotton,CNH012, Madhya Pradesh,165,44211.23,131.3,501.2668493
Cotton,CICR-3 (CISA 614),Punjab,150,50828.83,131.3,501.2668493
Cotton,CICR-3 (CISA 614), Haryana,150,44211.23,131.3,501.2668493
Cotton,CICR-3 (CISA 614), Uttar Pradesh,150,44211.23,131.3,501.2668493
Cotton,VBCH 2231,Maharashtra,157,33116.82,131.3,501.2668493
Cotton,VBCH 2231, Gujarat,157,44211.23,131.3,501.2668493
Cotton,VBCH 2231, Madhya Pradesh,157,44211.23,131.3,501.2668493
Cotton,VBCH 2231, Orissa,157,44211.23,131.3,501.2668493
Cotton,FDK 124,Punjab,158,50828.83,131.3,501.2668493
Cotton,FDK 124, Haryana,158,44211.23,131.3,501.2668493
Cotton,FDK 124, Rajasthan,158,44211.23,131.3,501.2668493
